"","Year","Turnout","Ideology","No.Identification","Ideology.Folded","Conservative","Liberal","Liberal.Thermometer","Conservative.Thermometer","Republican.Thermometer","Education","Party.ID","PartyID.Folded","Household.Income","Age","Female","Race","Black","Region","Union.Member","Church.Attendance","Married","Social.Class"
"36835",1992,0,0,0,0,0,0,60,85,70,3,4,0,1,23,1,2,1,3,0,5,0,1
"36836",1992,1,-3,0,3,0,1,97,15,0,5,1,3,2,29,0,1,0,3,0,5,0,4
"36837",1992,1,0,0,0,0,0,40,60,60,4,6,2,2,76,0,1,0,2,0,2,1,4
"36838",1992,1,0,1,0,0,0,60,70,60,3,2,2,2,70,1,1,0,2,0,5,0,4
"36839",1992,1,-2,0,2,0,1,60,30,40,3,1,3,NA,76,1,1,0,2,0,5,0,3
"36840",1992,1,0,0,0,0,0,60,50,70,3,3,1,3,77,1,1,0,3,0,4,0,4
"36841",1992,1,2,0,2,1,0,40,40,60,4,6,2,2,28,1,1,0,2,0,1,1,1
"36842",1992,1,2,0,2,1,0,30,70,60,4,2,2,2,82,0,1,0,2,0,1,0,4
"36843",1992,1,2,0,2,1,0,40,75,55,4,5,1,1,26,0,1,0,4,0,1,0,1
"36844",1992,1,2,0,2,1,0,15,85,70,5,7,3,3,25,0,1,0,1,0,4,0,4
"36845",1992,NA,0,1,0,0,0,NA,NA,NA,1,1,3,1,67,0,1,0,3,0,5,1,2
"36846",1992,0,1,0,1,1,0,60,60,NA,NA,3,1,4,64,1,1,0,4,0,5,0,2
"36847",1992,1,-2,0,2,0,1,85,30,0,5,1,3,3,46,1,1,0,4,1,5,0,4
"36848",1992,0,0,1,0,0,0,50,85,85,1,3,1,2,72,1,1,0,4,0,5,1,4
"36849",1992,0,-1,0,1,0,1,50,60,50,3,6,2,3,33,0,1,0,2,0,4,1,1
"36850",1992,0,0,1,0,0,0,30,50,50,2,4,0,2,24,1,3,0,3,0,3,1,4
"36851",1992,1,1,0,1,1,0,50,50,50,4,5,1,4,30,0,1,0,3,0,4,1,4
"36852",1992,1,0,0,0,0,0,60,70,60,4,4,0,3,77,1,1,0,2,0,3,1,6
"36853",1992,1,0,0,0,0,0,50,50,97,4,7,3,2,83,1,1,0,2,0,5,0,1
"36854",1992,1,-1,0,1,0,1,NA,NA,0,2,1,3,1,81,1,1,0,2,0,5,0,4
"36855",1992,0,-1,0,1,0,1,70,30,40,4,2,2,4,33,0,1,0,2,0,4,1,4
"36856",1992,1,0,1,0,0,0,60,70,40,4,4,0,4,82,0,1,0,4,0,5,1,3
"36857",1992,1,0,1,0,0,0,NA,15,70,2,1,3,1,81,1,1,0,4,0,5,0,6
"36858",1992,1,1,0,1,1,0,40,60,50,3,7,3,4,35,1,1,0,2,0,3,1,4
"36859",1992,1,1,0,1,1,0,30,60,60,1,6,2,2,67,1,1,0,2,0,1,1,1
"36860",1992,1,0,1,0,0,0,40,40,70,2,7,3,NA,72,1,1,0,2,1,4,0,4
"36861",1992,1,3,0,3,1,0,15,85,60,6,4,0,4,42,1,1,0,2,1,1,1,6
"36862",1992,1,1,0,1,1,0,60,60,70,5,7,3,5,46,1,1,0,2,0,2,0,6
"36863",1992,1,1,0,1,1,0,70,60,30,3,1,3,3,61,0,1,0,2,0,2,1,4
"36864",1992,1,-2,0,2,0,1,70,40,40,6,2,2,4,48,1,1,0,4,0,5,1,4
"36865",1992,1,0,0,0,0,0,50,50,60,3,6,2,3,49,1,1,0,2,0,1,1,1
"36866",1992,1,0,1,0,0,0,50,50,60,3,2,2,3,26,1,1,0,2,0,4,0,1
"36867",1992,1,1,0,1,1,0,30,60,30,3,3,1,4,50,1,1,0,3,0,3,1,4
"36868",1992,1,3,0,3,1,0,0,97,97,3,7,3,3,58,1,1,0,3,0,1,1,4
"36869",1992,1,2,0,2,1,0,60,97,85,1,1,3,3,82,0,1,0,3,0,1,1,1
"36870",1992,1,-2,0,2,0,1,70,30,0,4,1,3,4,68,1,1,0,3,0,4,0,4
"36871",1992,0,0,1,0,0,0,50,60,60,2,4,0,1,48,0,1,0,2,0,5,0,1
"36872",1992,0,0,1,0,0,0,NA,NA,30,1,1,3,NA,85,1,2,1,3,0,3,0,1
"36873",1992,0,1,0,1,1,0,40,70,40,3,3,1,1,36,1,1,0,3,1,5,0,1
